med_name,count of 1,count of 0
麻黃,108,529
桂枝,271,366
荊芥,20,617
防風,37,600
細辛,183,454
白芷,7,630
生薑,182,455
辛夷,30,607
葛根,13,624
升麻,8,629
柴胡,205,432
蟬蛻,15,622
石膏,84,553
知母,104,533
梔子,48,589
天花粉,13,624
夏枯草,8,629
決明子,9,628
生地,71,566
牡丹皮,7,630
連翹,28,609
射干,17,620
黃連,140,497
黃芩,253,384
黃柏,44,593
龍膽草,84,553
大黃,111,526
芒硝,43,594
防己,50,587
秦艽,4,633
絡石藤,7,630
蒼朮,45,592
草果,6,631
茯苓,208,429
豬苓,63,574
薏苡仁,7,630
海金砂,5,632
澤瀉,226,411
車前子,5,632
滑石,22,615
木通,53,584
通草,3,634
赤小豆,11,626
燈心草,6,631
乾薑,137,500
附子,268,369
吳茱萸,61,576
枳實,94,543
烏藥,84,553
厚朴,94,543
大腹皮,6,631
青皮,12,625
薤白,13,624
麥芽,83,554
側柏葉,31,606
槐花,12,625
三七,8,629
茜草,99,538
川芎,173,464
乳香,9,628
延胡索,8,629
鬱金,91,546
紅花,6,631
桃仁,37,600
牛膝,24,613
半夏,152,485
白附子,23,614
桔梗,30,607
旋覆花,51,586
瓜蔞,11,626
海藻,20,617
杏仁,68,569
紫菀,10,627
龍骨,41,596
牡蠣,109,528
酸棗仁,24,613
遠志,32,605
小麥,11,626
代赭石,62,575
黃耆,38,599
白朮,178,459
大棗,163,474
甘草,361,276
巴戟天,23,614
補骨脂,156,481
益智仁,6,631
陽起石,40,597
續斷,11,626
杜仲,15,622
何首烏,17,620
當歸,211,426
白芍,326,311
阿膠,83,554
西洋參,5,632
龜板,27,610
鱉甲,36,601
山茱萸,12,625
覆盆子,7,630
五味子,23,614
烏梅,9,628
五倍子,10,627
炙甘草,381,256
